date,anxiety,depression,loneliness,therapy,burnout
2017-12-31,65,69,54,72,40
2018-01-07,71,78,50,83,46
2018-01-14,70,77,69,82,47
2018-01-21,72,83,61,86,44
2018-01-28,71,86,57,84,47
2018-02-04,72,83,63,87,44
2018-02-11,68,79,61,81,49
2018-02-18,73,82,58,81,66
2018-02-25,72,84,57,84,54
2018-03-04,74,86,57,84,56
2018-03-11,75,83,57,82,82
2018-03-18,76,89,57,84,75
2018-03-25,72,79,59,81,57
2018-04-01,71,78,58,83,54
2018-04-08,76,87,57,85,57
2018-04-15,73,81,58,83,50
2018-04-22,76,81,62,87,50
2018-04-29,72,79,61,82,52
2018-05-06,69,76,62,80,49
2018-05-13,68,77,54,81,49
2018-05-20,66,74,60,80,46
2018-05-27,66,72,55,74,45
2018-06-03,72,82,56,86,50
2018-06-10,72,76,55,78,49
2018-06-17,68,73,51,74,44
2018-06-24,71,68,52,76,44
2018-07-01,67,61,51,67,44
2018-07-08,69,67,53,75,45
2018-07-15,73,68,53,81,44
2018-07-22,71,68,52,78,43
2018-07-29,74,74,54,78,41
2018-08-05,72,71,54,80,44
2018-08-12,74,70,58,78,46
2018-08-19,73,68,57,79,48
2018-08-26,73,68,53,80,45
2018-09-02,73,74,55,77,44
2018-09-09,72,77,56,77,45
2018-09-16,77,77,54,84,48
2018-09-23,100,74,56,85,46
2018-09-30,84,77,60,86,47
2018-10-07,77,83,73,84,48
2018-10-14,80,82,62,86,51
2018-10-21,79,82,57,84,46
2018-10-28,73,80,59,85,44
2018-11-04,78,82,59,85,52
2018-11-11,76,84,57,81,50
2018-11-18,68,78,54,71,47
2018-11-25,81,87,62,86,50
2018-12-02,77,88,60,86,49
2018-12-09,74,83,59,82,45
2018-12-16,71,76,59,78,41
2018-12-23,63,62,56,58,35
2018-12-30,73,73,53,70,39
2019-01-06,78,83,54,85,55
2019-01-13,77,84,54,86,48
2019-01-20,80,78,56,86,46
2019-01-27,78,79,59,87,49
2019-02-03,73,85,58,90,43
2019-02-10,79,84,58,89,46
2019-02-17,85,85,61,88,47
2019-02-24,78,87,59,91,48
2019-03-03,89,95,58,89,48
2019-03-10,90,84,56,88,52
2019-03-17,98,87,62,88,60
2019-03-24,90,80,54,89,52
2019-03-31,77,84,58,90,52
2019-04-07,78,79,58,86,55
2019-04-14,75,74,57,84,46
