date,diet,gym,workout,weight loss
2017-12-31,91,92,63,80
2018-01-07,88,95,67,74
2018-01-14,82,91,60,71
2018-01-21,84,92,64,70
2018-01-28,85,91,63,70
2018-02-04,77,81,61,65
2018-02-11,71,79,58,66
2018-02-18,79,81,60,64
2018-02-25,75,81,59,64
2018-03-04,79,82,61,67
2018-03-11,81,80,58,66
2018-03-18,84,79,62,63
2018-03-25,98,84,57,69
2018-04-01,85,83,60,72
2018-04-08,84,80,61,64
2018-04-15,84,77,64,68
2018-04-22,84,75,56,66
2018-04-29,77,71,59,66
2018-05-06,81,72,54,64
2018-05-13,81,73,53,63
2018-05-20,79,74,57,64
2018-05-27,80,83,59,66
2018-06-03,77,79,56,63
2018-06-10,80,76,55,64
2018-06-17,73,76,53,61
2018-06-24,76,75,58,61
2018-07-01,79,76,54,63
2018-07-08,83,80,58,65
2018-07-15,79,80,58,65
2018-07-22,79,84,56,66
2018-07-29,80,81,58,62
2018-08-05,76,80,56,63
2018-08-12,78,81,54,63
2018-08-19,72,79,51,60
2018-08-26,71,80,51,57
2018-09-02,71,82,51,57
2018-09-09,69,78,49,54
2018-09-16,72,74,50,57
2018-09-23,69,78,46,56
2018-09-30,68,77,50,61
2018-10-07,66,75,48,54
2018-10-14,72,70,46,54
2018-10-21,66,69,46,52
2018-10-28,68,70,45,52
2018-11-04,66,78,46,49
2018-11-11,64,75,46,49
2018-11-18,59,75,42,47
2018-11-25,67,75,50,56
2018-12-02,64,76,48,54
2018-12-09,60,72,46,53
2018-12-16,55,70,46,48
2018-12-23,63,83,46,55
2018-12-30,98,95,62,74
2019-01-06,100,96,64,71
2019-01-13,90,87,61,67
2019-01-20,90,87,63,66
2019-01-27,86,85,60,66
2019-02-03,82,81,63,64
2019-02-10,76,81,56,59
2019-02-17,75,83,59,65
2019-02-24,77,81,57,63
2019-03-03,80,84,58,62
2019-03-10,72,79,56,63
2019-03-17,78,79,56,63
2019-03-24,78,79,54,63
2019-03-31,87,79,54,62
2019-04-07,77,78,53,65
2019-04-14,77,74,53,60
2019-04-21,78,75,47,63
2019-04-28,76,74,52,64
2019-05-05,69,73,52,59
2019-05-12,68,74,50,59
2019-05-19,72,75,52,63
2019-05-26,68,76,55,57
2019-06-02,72,78,54,59
2019-06-09,69,83,53,62
2019-06-16,70,85,54,62
2019-06-23,71,81,55,62
2019-06-30,70,76,50,60
2019-07-07,72,84,56,62
2019-07-14,71,76,59,67
2019-07-21,72,79,55,64
2019-07-28,70,82,54,62
2019-08-04,66,80,52,59
2019-08-11,64,83,51,60
2019-08-18,68,78,53,58
2019-08-25,67,80,49,57
2019-09-01,66,88,50,50
2019-09-08,65,84,50,57
2019-09-15,64,78,50,57
2019-09-22,65,78,47,52
2019-09-29,62,84,47,52
2019-10-06,62,79,46,55
2019-10-13,63,77,46,52
2019-10-20,62,75,47,56
2019-10-27,62,72,44,57
2019-11-03,68,78,49,59
2019-11-10,65,79,49,55
2019-11-17,62,82,57,55
2019-11-24,55,85,45,48
2019-12-01,58,77,48,50
2019-12-08,55,74,45,50
2019-12-15,53,76,46,48
2019-12-22,53,84,44,54
2019-12-29,79,99,59,68
2020-01-05,87,100,65,89
2020-01-12,76,92,62,70
2020-01-19,73,90,60,67
2020-01-26,74,92,57,64
2020-02-02,72,84,57,64
2020-02-09,65,84,58,72
2020-02-16,74,83,57,70
2020-02-23,69,77,55,63
2020-03-01,65,88,56,63
2020-03-08,57,85,51,50
2020-03-15,42,95,70,42
2020-03-22,41,69,97,41
2020-03-29,45,64,100,49
2020-04-05,49,58,95,56
2020-04-12,54,58,95,64
2020-04-19,58,56,91,66
2020-04-26,60,57,88,66
2020-05-03,68,58,79,100
2020-05-10,63,65,79,77
2020-05-17,66,62,78,79
2020-05-24,66,61,76,74
2020-05-31,66,62,68,71
2020-06-07,65,65,69,71
2020-06-14,64,67,67,75
