date,sunscreen,ice cream,hot chocolate,christmas
2017-12-31,12,42,34,9
2018-01-07,13,42,25,4
2018-01-14,13,46,24,3
2018-01-21,13,48,20,2
2018-01-28,14,45,20,2
2018-02-04,13,47,19,2
2018-02-11,13,48,16,2
2018-02-18,16,51,15,2
2018-02-25,16,47,16,2
2018-03-04,18,52,15,1
2018-03-11,18,57,13,1
2018-03-18,20,61,14,1
2018-03-25,22,63,14,2
2018-04-01,22,59,12,1
2018-04-08,25,59,11,1
2018-04-15,29,60,10,1
2018-04-22,32,67,9,1
2018-04-29,37,66,9,1
2018-05-06,40,71,9,1
2018-05-13,34,67,8,1
2018-05-20,39,78,9,1
2018-05-27,43,83,9,1
2018-06-03,36,75,9,1
2018-06-10,33,79,9,1
2018-06-17,34,75,9,1
2018-06-24,39,78,9,1
2018-07-01,42,83,8,2
2018-07-08,37,82,9,2
2018-07-15,29,92,9,2
2018-07-22,28,77,9,2
2018-07-29,25,74,9,2
2018-08-05,25,71,10,2
2018-08-12,20,63,9,3
2018-08-19,17,62,10,3
2018-08-26,17,57,10,3
2018-09-02,16,57,11,3
2018-09-09,15,49,13,4
2018-09-16,15,50,13,4
2018-09-23,14,48,16,5
2018-09-30,14,46,17,6
2018-10-07,14,47,19,6
2018-10-14,13,43,23,8
2018-10-21,14,42,24,9
2018-10-28,15,42,27,13
2018-11-04,14,42,31,19
2018-11-11,13,40,40,25
2018-11-18,12,42,36,33
2018-11-25,13,40,45,47
2018-12-02,13,40,48,56
2018-12-09,14,40,52,57
2018-12-16,13,42,47,64
2018-12-23,15,42,38,81
2018-12-30,16,46,27,10
2019-01-06,17,42,23,5
2019-01-13,17,46,23,3
2019-01-20,17,45,24,2
2019-01-27,17,50,23,2
2019-02-03,17,45,20,2
2019-02-10,18,48,19,2
2019-02-17,20,48,16,2
2019-02-24,22,48,15,1
2019-03-03,21,49,15,2
2019-03-10,24,55,13,2
2019-03-17,26,57,12,2
2019-03-24,30,63,11,1
2019-03-31,32,62,12,1
2019-04-07,32,65,11,1
2019-04-14,34,65,11,1
2019-04-21,38,59,11,1
2019-04-28,34,64,9,1
2019-05-05,43,65,9,1
2019-05-12,38,66,9,1
2019-05-19,46,68,9,1
2019-05-26,54,79,8,2
2019-06-02,44,73,10,2
2019-06-09,45,74,9,2
2019-06-16,41,75,8,2
2019-06-23,46,83,9,2
2019-06-30,49,100,9,2
2019-07-07,40,89,9,2
2019-07-14,39,87,10,2
2019-07-21,40,99,9,2
2019-07-28,34,78,9,2
2019-08-04,31,72,9,2
2019-08-11,28,72,10,3
2019-08-18,27,65,11,3
2019-08-25,25,63,12,3
2019-09-01,23,59,11,4
2019-09-08,21,51,13,4
2019-09-15,21,54,13,5
2019-09-22,19,52,14,5
2019-09-29,20,50,18,6
2019-10-06,19,47,20,7
2019-10-13,17,47,21,8
2019-10-20,18,43,23,9
2019-10-27,17,41,28,12
2019-11-03,19,40,33,20
2019-11-10,19,43,42,24
2019-11-17,18,44,39,30
2019-11-24,19,42,40,37
2019-12-01,18,39,49,53
2019-12-08,17,40,51,55
2019-12-15,18,41,53,66
2019-12-22,19,46,41,97
2019-12-29,23,48,27,13
2020-01-05,21,46,25,6
