date,online shopping,amazon,delivery,supermarket,toilet paper
2017-12-31,51,66,32,59,2
2018-01-07,49,62,30,49,2
2018-01-14,46,62,31,49,2
2018-01-21,51,62,29,48,2
2018-01-28,51,60,30,46,2
2018-02-04,47,58,32,48,3
2018-02-11,47,53,37,49,2
2018-02-18,46,55,30,51,2
2018-02-25,43,56,32,50,2
2018-03-04,46,58,32,51,2
2018-03-11,47,55,30,52,2
2018-03-18,52,57,30,51,2
2018-03-25,51,56,32,61,2
2018-04-01,49,57,31,56,2
2018-04-08,48,53,30,49,2
2018-04-15,45,52,31,53,2
2018-04-22,43,56,30,52,2
2018-04-29,45,55,31,51,2
2018-05-06,45,55,33,52,2
2018-05-13,45,53,31,52,2
2018-05-20,47,53,29,56,2
2018-05-27,50,56,30,58,2
2018-06-03,49,56,30,54,2
2018-06-10,48,54,32,53,2
2018-06-17,44,53,31,54,2
2018-06-24,50,54,31,51,2
2018-07-01,45,54,32,59,2
2018-07-08,46,56,31,57,2
2018-07-15,48,76,34,59,3
2018-07-22,48,56,32,61,2
2018-07-29,50,58,34,61,3
2018-08-05,49,55,32,58,2
2018-08-12,50,54,32,59,2
2018-08-19,45,59,32,60,2
2018-08-26,45,57,31,57,2
2018-09-02,47,59,32,59,2
2018-09-09,46,55,31,57,2
2018-09-16,49,55,32,56,2
2018-09-23,51,55,32,51,2
2018-09-30,50,58,32,52,6
2018-10-07,60,62,32,49,4
2018-10-14,53,58,33,53,3
2018-10-21,58,65,30,51,3
2018-10-28,55,62,33,54,3
2018-11-04,49,62,32,50,3
2018-11-11,56,68,34,51,3
2018-11-18,58,88,31,53,3
2018-11-25,58,81,33,47,3
2018-12-02,58,83,35,53,3
2018-12-09,56,82,36,50,3
2018-12-16,57,78,36,53,3
2018-12-23,49,66,34,72,3
2018-12-30,45,64,34,62,3
2019-01-06,47,64,32,51,3
2019-01-13,43,58,32,50,3
2019-01-20,48,59,32,50,3
2019-01-27,46,56,34,48,3
2019-02-03,44,57,35,51,3
2019-02-10,43,58,40,50,37
2019-02-17,42,55,33,52,73
2019-02-24,40,57,31,49,7
2019-03-03,45,54,33,49,4
