date,flights,vacation,hotel,travel restrictions,staycation,japan
2017-12-31,52,70,78,1,13,69
2018-01-07,55,66,83,1,13,62
2018-01-14,53,63,78,1,12,61
2018-01-21,53,59,80,1,12,60
2018-01-28,49,62,79,1,12,59
2018-02-04,49,59,74,1,12,58
2018-02-11,48,59,78,0,13,60
2018-02-18,49,60,77,1,13,58
2018-02-25,55,60,74,1,13,60
2018-03-04,49,59,76,1,15,61
2018-03-11,48,60,75,1,14,61
2018-03-18,50,63,74,1,16,60
2018-03-25,47,64,80,1,19,65
2018-04-01,48,71,74,1,16,62
2018-04-08,48,68,78,1,14,61
2018-04-15,47,62,76,1,13,63
2018-04-22,46,60,77,1,15,64
2018-04-29,47,60,73,1,16,61
2018-05-06,44,59,78,1,16,60
2018-05-13,47,61,75,1,16,56
2018-05-20,46,65,76,1,18,57
2018-05-27,48,68,76,1,19,59
2018-06-03,50,68,82,1,19,57
2018-06-10,50,67,84,1,20,61
2018-06-17,52,69,82,1,16,81
2018-06-24,54,72,85,1,18,82
2018-07-01,57,68,87,0,19,89
2018-07-08,62,69,96,1,18,66
2018-07-15,59,71,97,1,18,62
2018-07-22,62,68,95,1,20,60
2018-07-29,59,65,92,1,20,58
2018-08-05,59,65,88,1,20,59
2018-08-12,59,62,87,1,19,54
2018-08-19,55,58,85,1,17,59
2018-08-26,55,58,79,0,17,56
2018-09-02,56,53,82,0,15,65
2018-09-09,55,50,80,0,14,61
2018-09-16,57,47,75,0,13,55
2018-09-23,55,47,75,0,14,56
2018-09-30,55,48,76,0,14,61
2018-10-07,56,46,74,0,13,56
2018-10-14,51,46,75,0,14,56
2018-10-21,53,44,72,0,13,55
2018-10-28,55,44,70,0,16,57
2018-11-04,55,49,71,0,15,54
2018-11-11,56,50,72,0,16,56
2018-11-18,52,51,67,0,15,53
2018-11-25,56,55,67,0,15,53
2018-12-02,54,59,69,0,16,54
2018-12-09,52,61,67,0,15,54
2018-12-16,56,68,65,0,17,54
2018-12-23,57,91,76,0,20,58
2018-12-30,70,72,79,0,17,57
2019-01-06,76,70,80,1,16,55
2019-01-13,71,67,80,1,15,53
2019-01-20,62,60,77,1,15,55
2019-01-27,61,61,77,1,16,58
2019-02-03,65,58,73,0,16,52
2019-02-10,67,57,80,1,17,53
2019-02-17,66,63,79,1,16,55
2019-02-24,69,60,76,1,16,56
2019-03-03,67,62,77,1,17,57
2019-03-10,68,61,73,1,17,56
2019-03-17,59,59,76,0,18,56
2019-03-24,62,59,77,0,18,54
2019-03-31,62,57,77,0,18,58
2019-04-07,62,55,81,0,20,55
2019-04-14,60,54,76,1,26,56
2019-04-21,60,54,77,1,19,56
2019-04-28,60,55,76,1,20,57
2019-05-05,61,58,79,0,19,52
2019-05-12,61,56,79,1,18,53
2019-05-19,61,60,82,0,23,54
2019-05-26,62,60,85,1,24,60
2019-06-02,65,68,85,2,25,58
2019-06-09,68,64,83,1,26,59
2019-06-16,66,70,91,1,23,66
2019-06-23,65,66,91,0,25,59
2019-06-30,63,66,92,0,24,56
2019-07-07,67,67,92,0,25,55
2019-07-14,66,71,97,0,24,54
2019-07-21,68,68,98,0,26,59
2019-07-28,65,62,98,0,26,55
2019-08-04,65,59,100,0,27,54
2019-08-11,64,58,93,0,25,55
2019-08-18,64,56,96,1,24,55
2019-08-25,64,52,83,0,22,56
2019-09-01,62,51,84,0,21,57
2019-09-08,64,49,84,0,19,56
2019-09-15,65,51,81,0,18,59
2019-09-22,68,49,81,0,19,60
2019-09-29,69,50,77,0,20,60
2019-10-06,64,51,80,0,20,78
2019-10-13,61,49,78,0,21,83
2019-10-20,60,50,77,0,21,66
2019-10-27,60,47,75,0,22,56
2019-11-03,59,53,75,0,26,56
2019-11-10,62,48,79,0,30,56
2019-11-17,65,57,78,0,23,56
2019-11-24,64,60,72,0,22,58
2019-12-01,64,65,75,1,21,55
2019-12-08,63,70,72,0,21,57
2019-12-15,65,79,75,0,24,57
2019-12-22,69,100,86,0,29,57
2019-12-29,77,77,86,0,26,58
2020-01-05,82,76,86,1,21,59
2020-01-12,81,75,84,1,20,56
2020-01-19,75,68,85,1,20,56
2020-01-26,62,61,78,3,19,55
2020-02-02,63,57,76,5,19,55
2020-02-09,64,61,80,4,22,57
2020-02-16,58,65,78,3,23,58
2020-02-23,57,62,72,13,22,63
2020-03-01,60,56,69,28,27,58
2020-03-08,100,52,60,64,31,56
2020-03-15,75,41,43,72,28,56
2020-03-22,35,37,30,25,18,52
2020-03-29,24,34,27,24,18,53
2020-04-05,25,36,28,18,15,55
2020-04-12,24,36,27,18,12,52
2020-04-19,24,35,27,18,11,51
2020-04-26,25,38,27,21,14,51
2020-05-03,26,42,28,25,15,48
2020-05-10,30,48,33,30,20,48
2020-05-17,33,55,38,32,26,47
2020-05-24,34,51,38,31,26,52
2020-05-31,36,55,44,30,27,49
2020-06-07,38,59,49,37,35,48
2020-06-14,36,62,52,36,49,48
2020-06-21,32,63,56,58,52,47
2020-06-28,31,56,58,70,86,49
2020-07-05,30,59,64,59,69,48
2020-07-12,30,59,67,55,75,50
2020-07-19,28,60,68,52,100,49
2020-07-26,28,58,71,53,91,50
2020-08-02,29,56,69,54,78,49
2020-08-09,27,56,68,47,81,48
2020-08-16,28,51,70,41,94,49
2020-08-23,27,46,63,39,78,47
2020-08-30,28,46,65,42,79,47
2020-09-06,26,45,60,41,82,47
2020-09-13,27,44,57,41,87,46
2020-09-20,27,44,52,41,86,47
2020-09-27,27,41,52,40,91,46
2020-10-04,29,41,60,40,90,47
2020-10-11,27,43,52,40,81,47
2020-10-18,27,41,49,42,77,46
2020-10-25,24,37,46,40,77,46
2020-11-01,23,37,38,37,67,42
2020-11-08,26,43,41,52,62,45
2020-11-15,25,43,39,70,67,45
