date,remote work,work from home,office
2017-12-31,46,23,78
2018-01-07,39,24,84
2018-01-14,40,23,86
2018-01-21,36,22,85
2018-01-28,37,23,89
2018-02-04,37,22,83
2018-02-11,36,20,82
2018-02-18,37,21,86
2018-02-25,35,20,93
2018-03-04,36,21,85
2018-03-11,34,21,82
2018-03-18,35,21,86
2018-03-25,36,21,84
2018-04-01,35,21,81
2018-04-08,33,21,87
2018-04-15,35,21,84
2018-04-22,31,20,85
2018-04-29,34,21,85
2018-05-06,32,21,77
2018-05-13,34,21,83
2018-05-20,34,20,80
2018-05-27,36,22,81
2018-06-03,34,22,84
2018-06-10,34,21,83
2018-06-17,34,20,84
2018-06-24,34,21,80
2018-07-01,34,20,81
2018-07-08,35,23,86
2018-07-15,37,23,83
2018-07-22,38,22,85
2018-07-29,37,22,87
2018-08-05,36,26,80
2018-08-12,35,23,82
2018-08-19,36,23,83
2018-08-26,35,21,81
2018-09-02,35,22,84
2018-09-09,37,21,82
2018-09-16,35,22,79
2018-09-23,34,21,83
2018-09-30,36,22,80
2018-10-07,35,20,80
2018-10-14,37,21,81
2018-10-21,35,20,79
2018-10-28,36,20,83
2018-11-04,37,21,79
2018-11-11,39,22,82
2018-11-18,40,17,77
2018-11-25,45,21,88
2018-12-02,41,20,89
2018-12-09,39,20,85
2018-12-16,37,18,88
2018-12-23,44,16,77
2018-12-30,45,23,76
2019-01-06,41,26,86
2019-01-13,41,24,86
2019-01-20,40,24,82
2019-01-27,40,23,90
2019-02-03,37,22,82
2019-02-10,36,21,87
2019-02-17,38,22,83
2019-02-24,36,21,81
2019-03-03,37,22,83
2019-03-10,35,22,80
2019-03-17,36,21,78
2019-03-24,35,21,81
2019-03-31,35,21,82
2019-04-07,34,20,84
2019-04-14,36,19,76
2019-04-21,34,21,78
2019-04-28,34,21,84
2019-05-05,33,21,84
2019-05-12,35,20,82
2019-05-19,33,21,79
2019-05-26,36,22,79
2019-06-02,37,22,85
2019-06-09,36,22,87
2019-06-16,35,22,86
2019-06-23,36,22,84
2019-06-30,35,21,79
2019-07-07,38,24,84
2019-07-14,39,24,85
2019-07-21,36,25,84
2019-07-28,38,24,83
2019-08-04,38,22,84
2019-08-11,39,24,83
2019-08-18,40,24,88
2019-08-25,41,21,88
2019-09-01,38,22,85
2019-09-08,37,23,87
2019-09-15,37,23,84
2019-09-22,36,23,86
2019-09-29,38,22,93
2019-10-06,38,21,80
2019-10-13,38,23,83
2019-10-20,37,21,81
2019-10-27,41,20,79
2019-11-03,38,22,79
2019-11-10,42,22,85
2019-11-17,42,22,86
2019-11-24,41,17,78
2019-12-01,42,22,86
2019-12-08,40,21,84
2019-12-15,41,19,89
2019-12-22,46,17,75
2019-12-29,45,22,73
2020-01-05,47,27,87
2020-01-12,39,25,85
2020-01-19,43,24,89
2020-01-26,41,24,83
2020-02-02,41,24,84
2020-02-09,42,23,87
2020-02-16,40,24,82
2020-02-23,38,23,83
2020-03-01,43,30,83
2020-03-08,58,49,83
2020-03-15,100,100,100
2020-03-22,86,90,91
