date,unemployment,job loss,side hustle,freelance,stimulus
2017-12-31,6,24,16,72,0
2018-01-07,6,28,16,78,0
2018-01-14,6,26,15,80,0
2018-01-21,6,27,13,80,0
2018-01-28,6,29,13,80,0
2018-02-04,6,30,12,77,0
2018-02-11,5,26,11,74,0
2018-02-18,5,28,12,76,0
2018-02-25,5,27,13,77,0
2018-03-04,5,31,12,70,0
2018-03-11,5,28,13,79,0
2018-03-18,5,30,12,75,0
2018-03-25,5,25,12,76,0
2018-04-01,5,28,12,73,0
2018-04-08,5,24,12,76,0
2018-04-15,5,28,11,75,0
2018-04-22,5,28,12,71,0
2018-04-29,5,29,12,70,0
2018-05-06,4,27,11,72,0
2018-05-13,4,23,13,72,0
2018-05-20,4,26,12,73,0
2018-05-27,4,28,14,74,0
2018-06-03,5,25,15,71,0
2018-06-10,4,25,12,71,0
2018-06-17,4,24,13,69,0
2018-06-24,4,26,14,71,0
2018-07-01,4,21,12,69,0
2018-07-08,5,26,16,74,0
2018-07-15,5,24,15,76,0
2018-07-22,4,25,15,73,0
2018-07-29,4,24,17,79,0
2018-08-05,4,24,15,76,0
2018-08-12,4,23,15,75,0
2018-08-19,4,23,14,73,0
2018-08-26,4,24,15,72,0
2018-09-02,4,23,15,81,0
2018-09-09,4,26,15,73,0
2018-09-16,4,27,15,78,0
2018-09-23,4,25,15,79,0
2018-09-30,5,25,14,77,0
2018-10-07,4,25,13,74,0
2018-10-14,4,26,15,75,0
2018-10-21,4,22,13,77,0
2018-10-28,5,26,14,76,0
2018-11-04,5,24,15,74,0
2018-11-11,5,26,15,73,0
2018-11-18,4,23,14,70,0
2018-11-25,5,26,16,72,0
2018-12-02,5,27,16,74,0
2018-12-09,5,22,13,70,0
2018-12-16,5,23,14,66,0
2018-12-23,4,16,15,59,0
2018-12-30,5,22,22,73,0
2019-01-06,6,25,21,85,0
2019-01-13,6,25,23,79,0
2019-01-20,6,24,21,80,0
2019-01-27,6,26,20,82,0
2019-02-03,6,28,19,78,0
2019-02-10,6,26,19,79,0
2019-02-17,5,29,19,79,0
2019-02-24,5,27,18,77,0
2019-03-03,5,28,17,77,0
2019-03-10,4,26,16,75,0
2019-03-17,5,29,16,74,0
2019-03-24,5,29,19,80,0
2019-03-31,5,26,20,79,0
2019-04-07,5,26,17,77,0
2019-04-14,5,27,17,72,0
2019-04-21,4,24,18,73,0
2019-04-28,5,25,18,73,0
2019-05-05,4,24,19,76,0
2019-05-12,4,25,19,76,0
2019-05-19,4,23,19,74,0
2019-05-26,4,24,21,77,0
2019-06-02,4,25,22,76,0
2019-06-09,4,24,21,78,0
2019-06-16,4,23,20,83,0
2019-06-23,4,25,22,78,0
2019-06-30,4,21,18,77,0
2019-07-07,5,25,22,78,0
2019-07-14,5,23,23,81,0
2019-07-21,4,22,22,78,0
2019-07-28,5,24,21,78,0
2019-08-04,4,22,22,74,0
2019-08-11,4,24,23,78,0
2019-08-18,4,30,22,81,0
2019-08-25,4,27,21,77,0
2019-09-01,4,27,19,80,0
2019-09-08,4,27,20,81,0
2019-09-15,4,27,20,84,0
2019-09-22,4,29,22,85,0
2019-09-29,4,26,20,79,0
2019-10-06,4,25,21,77,0
2019-10-13,4,26,22,86,0
2019-10-20,4,26,23,76,0
2019-10-27,4,27,19,75,0
2019-11-03,4,27,20,77,0
2019-11-10,5,26,21,77,0
2019-11-17,5,27,20,83,0
2019-11-24,4,22,17,71,0
2019-12-01,5,30,22,76,0
2019-12-08,5,27,21,76,0
2019-12-15,5,22,18,77,0
2019-12-22,4,15,19,75,0
2019-12-29,5,20,29,81,0
2020-01-05,6,26,26,96,0
2020-01-12,6,25,26,89,0
2020-01-19,6,26,26,86,0
2020-01-26,5,27,22,86,0
2020-02-02,6,26,21,81,0
2020-02-09,5,26,21,82,0
2020-02-16,5,27,23,89,0
2020-02-23,5,30,23,85,0
2020-03-01,5,29,20,83,0
2020-03-08,6,31,19,77,1
2020-03-15,40,88,16,75,13
2020-03-22,69,100,15,80,41
2020-03-29,100,86,27,79,28
2020-04-05,87,70,28,79,38
2020-04-12,96,64,23,74,100
2020-04-19,87,61,21,73,52
2020-04-26,79,61,21,74,43
2020-05-03,66,71,20,80,32
2020-05-10,65,59,24,82,36
2020-05-17,66,59,24,84,32
2020-05-24,59,55,21,80,21
2020-05-31,53,50,23,85,17
2020-06-07,53,50,25,86,14
2020-06-14,48,43,26,90,11
2020-06-21,49,42,24,85,14
2020-06-28,49,42,25,91,12
2020-07-05,50,45,25,90,13
2020-07-12,48,43,25,87,12
2020-07-19,53,38,28,81,23
2020-07-26,50,38,27,83,29
2020-08-02,49,37,26,82,27
2020-08-09,50,34,29,79,20
2020-08-16,42,38,26,80,14
2020-08-23,43,37,27,81,12
2020-08-30,43,41,26,82,10
2020-09-06,44,37,25,88,12
